Country,CountryID,SatisfactionLife,DemocraticGov,NationalityPride,GNI/Capita($K),ConfidenceInPress,WillingnessToFight,HumanRights,Trust,Homicides/100 000,Internet/100,Refugees,People/km^2,% gov spend military
Albania,ALB,4.77,9.00,8.18,0.84,4.71,8.11,null,5.72,19.86,0.05,7187.40,114.90,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,5.39,8.29,8.03,7.73,5.46,7.61,null,5.73,7.99,0.92,7176.20,13.09,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,6.92,6.94,7.80,0.55,5.23,8.39,4.77,5.94,3.26,0.27,252625.60,110.58,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,7.55,8.06,8.82,20.99,4.87,8.18,null,6.91,1.71,18.80,66039.00,2.41,7.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,6.41,7.12,8.83,0.47,4.85,9.61,6.21,5.70,null,0.03,228873.40,94.32,13.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,4.32,8.73,9.31,0.38,6.43,8.95,null,5.92,null,0.01,29580.00,949.38,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,4.66,6.17,7.12,1.46,5.59,8.78,4.87,5.93,9.73,0.13,11979.60,49.86,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia,BIH,4.35,8.63,8.51,1.11,6.01,8.53,null,5.98,null,0.10,48548.33,74.33,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,6.91,6.42,7.48,1.38,5.18,7.86,null,5.33,4.96,1.36,785.40,75.11,7.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,6.83,7.30,8.46,5.05,6.03,8.15,null,5.95,null,1.57,300.00,19.62,15.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,6.56,null,7.99,0.72,null,9.43,null,7.34,null,0.19,291112.00,130.95,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,8.31,7.63,9.50,2.40,5.87,null,null,5.50,66.20,0.78,223.40,34.82,17.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,6.18,8.99,7.88,5.34,5.03,8.30,null,5.69,2.85,2.16,98061.20,81.48,19.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Rep.,CZE,6.39,7.82,7.69,5.85,5.74,5.65,null,6.13,1.71,3.41,1937.80,133.36,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,DOM,7.13,8.71,8.88,2.24,5.54,8.37,null,6.02,12.86,0.31,700.40,168.95,7.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,SLV,7.50,6.84,9.43,1.83,6.09,7.79,null,5.53,105.80,0.40,94.00,274.48,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,5.00,7.43,5.65,null,6.23,8.01,5.62,5.95,14.06,7.46,null,33.11,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,7.78,6.97,8.29,25.10,5.43,8.77,null,7.31,2.70,21.58,11749.80,16.87,3.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,4.68,7.70,8.83,0.72,6.29,8.01,4.85,5.61,5.80,0.13,1111.40,79.85,7.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,6.93,8.42,5.33,29.08,4.80,6.63,6.33,6.43,1.48,8.47,1101520.00,234.80,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,5.86,7.78,8.34,4.42,5.17,7.81,null,6.07,2.72,2.67,6663.00,114.52,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
