Country,CountryID,SatisfactionLife,DemocraticGov,NationalityPride,GNI/Capita($K),ConfidenceInPress,WillingnessToFight,HumanRights,Trust,Homicides/100 000,Internet/100,Refugees,People/km^2,% gov spend military
Albania,ALB,5.17,8.94,9.01,1.55,5.28,7.76,5.42,5.92,null,0.84,181.80,111.44,5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,5.67,8.53,9.12,1.83,5.79,null,5.07,5.34,1.70,1.91,169278.40,13.43,15.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,7.33,8.27,8.50,0.86,5.68,7.52,4.90,5.63,nul,11.13,2557.80,13.85,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,5.78,9.17,9.20,0.44,7.83,9.35,6.66,6.11,2.62,0.14,21213.20,1045.91,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia Herzegovina,BIH,5.77,8.31,6.99,1.87,5.31,7.99,5.40,5.72,null,4.87,28730.20,74.39,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,7.80,8.39,8.80,24.63,5.59,7.52,7.65,6.87,1.70,60.65,132131.40,3.45,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,7.12,7.93,9.02,4.89,5.98,7.27,6.40,5.98,3.30,22.29,440.20,20.90,13.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,6.53,6.29,7.23,1.16,6.45,9.17,6.83,7.44,1.93,4.50,297088.20,136.33,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,EGY,5.36,9.11,9.50,1.35,6.58,null,7.18,6.82,0.55,4.03,54731.20,71.26,12.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,5.14,7.97,8.56,0.51,6.18,8.57,5.01,6.69,4.02,1.28,167357.80,366.63,18.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,6.96,8.55,8.48,0.79,6.19,null,6.34,6.71,0.77,2.01,45033.40,120.00,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,IRN,6.38,7.14,9.36,1.81,5.06,null,6.43,6.28,null,4.29,1414694.20,41.53,14.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,IRQ,5.23,8.19,9.15,null,null,5.53,5.29,7.15,null,0.53,96578.60,57.04,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,7.03,null,8.23,18.90,null,8.55,null,6.02,3.08,19.68,3435.00,303.11,17.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,JPN,6.48,8.15,6.42,35.10,6.69,5.62,6.22,6.58,0.60,45.19,2768.40,349.47,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,JOR,5.64,8.41,8.93,1.96,6.41,null,6.97,6.26,null,6.70,1698507.40,56.14,20.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,6.48,7.63,8.00,0.32,5.88,9.07,5.29,5.81,8.24,3.21,18478.00,26.05,16.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,MKD,5.12,8.34,8.04,2.04,4.90,8.44,5.18,5.49,2.76,13.36,3485.20,79.71,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,MEX,8.13,7.59,9.23,6.56,5.47,8.13,5.85,5.91,9.58,10.20,11457.20,54.30,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,4.57,7.10,6.71,0.51,5.81,8.50,4.77,5.52,8.78,4.92,111.80,126.14,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,MNE,5.64,8.71,4.95,2.50,4.98,7.40,5.61,6.53,null,25.35,null,45.32,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,5.83,8.28,9.67,1.43,4.63,9.43,5.00,5.97,1.68,3.88,2113.00,66.16,12.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,6.87,9.18,9.02,0.39,6.99,null,6.56,6.21,null,0.46,7878.20,142.02,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,4.85,8.28,9.45,0.54,5.75,null,5.01,5.98,6.48,3.78,1568595.60,187.14,26.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,PER,6.44,8.61,9.18,2.04,5.38,8.62,5.90,5.50,4.94,9.06,708.40,20.78,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,PHL,6.67,7.80,9.61,1.26,7.06,9.03,7.76,5.37,7.64,3.79,128.20,272.60,9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,PRI,8.49,8.93,9.58,11.92,5.98,7.81,6.38,6.07,null,17.10,null,430.80,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,SAU,7.28,null,9.13,8.71,6.81,null,6.76,7.29,null,6.30,195450.80,10.56,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,5.62,8.41,7.07,1.95,4.96,7.79,5.87,5.78,2.16,23.50,null,85.66,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,null,7.13,8.41,8.38,23.24,null,8.79,null,5.77,0.64,48.10,1.50,6082.29,29.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,5.81,8.34,9.15,3.10,6.56,7.69,6.24,5.48,null,6.77,22250.60,37.83,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,KOR,6.21,7.57,7.31,12.77,6.64,8.29,5.70,6.37,null,59.78,19.80,491.89,14.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,6.99,8.66,8.56,17.45,5.73,6.25,6.58,6.45,1.34,27.22,6431.80,83.35,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,SWE,7.65,9.25,7.65,32.23,6.04,null,7.06,7.99,0.88,66.21,126295.80,21.76,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,TZA,3.87,9.02,9.23,0.32,7.44,8.98,7.30,5.14,null,0.41,53616.40,40.54,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,TUR,5.81,8.35,8.52,4.00,5.08,null,4.82,5.85,4.35,9.45,3079.80,84.61,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,UGA,5.62,8.47,8.85,0.26,6.95,7.48,6.91,5.36,7.85,0.39,227009.00,127.10,12.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,7.65,8.43,9.06,38.80,5.35,8.00,7.12,6.73,5.80,55.48,476529.60,31.38,16.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,VEN,7.52,8.94,9.61,4.01,6.95,8.65,6.16,5.76,36.68,5.76,110.20,28.79,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viet Nam,VNM,6.52,8.72,9.31,0.48,7.60,9.72,8.73,6.64,1.28,2.96,13111.00,256.11,11.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,ZWE,3.94,8.25,9.13,0.46,5.89,6.87,4.92,5.51,11.50,1.24,8374.00,32.80,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
