Country,CountryID,SatisfactionLife,DemocraticGov,NationalityPride,GNI/Capita($K),ConfidenceInPress,WillingnessToFight,HumanRights,Trust,Homicide/100 000,Internet/100,Refugees,People/km^2,% gov spend military
Algeria,DZR,6.30,7.55,8.66,5.03,5.01,7.59,6.37,4.34,1.12,16.65,94140.60,15.73,14.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,7.49,8.06,8.24,12.81,5.39,6.45,6.05,4.67,7.60,55.28,3397.00,15.38,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,5.24,7.72,8.94,3.61,4.99,8.09,4.75,4.08,2.13,38.20,8088.00,104.73,17.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,7.20,8.38,9.11,57.28,4.82,7.49,7.13,6.73,1.08,80.39,29081.40,2.96,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,6.66,7.40,9.06,6.43,5.97,7.81,7.04,4.42,2.28,59.64,1553.60,112.45,20.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,null,6.79,7.44,7.66,19.96,7.21,6.19,7.00,5.63,0.70,80.10,251.60,1721.78,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,5.78,7.84,7.24,6.53,5.68,7.71,6.79,5.68,3.94,46.31,657.80,46.69,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,BRA,7.84,7.17,7.59,11.33,5.62,6.60,5.34,3.83,22.88,48.10,5241.80,24.21,4.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,7.27,8.16,8.49,13.54,6.19,6.39,6.15,4.13,3.24,54.28,1701.20,23.39,10.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,6.85,6.28,6.89,5.86,6.06,8.28,6.32,7.37,0.90,41.72,301028.00,143.89,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,8.39,7.51,9.41,6.92,5.50,8.12,5.40,3.59,31.72,46.02,217.40,42.24,12.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,7.16,9.06,8.13,28.99,5.83,8.08,5.82,3.86,0.92,61.06,3907.40,122.18,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,7.92,8.34,9.71,5.31,5.97,7.77,6.83,3.81,12.98,36.28,122760.60,62.08,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,EGY,4.85,9.21,9.00,2.76,5.54,7.69,4.56,4.76,2.70,27.38,153250.40,86.13,6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,EST,6.25,7.22,7.05,16.74,5.83,7.09,6.55,6.02,4.40,78.53,62.40,31.21,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,5.45,7.54,9.27,3.22,4.97,8.56,5.93,3.94,3.55,36.53,654.80,66.93,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
